date,ticker,adj_close,close,high,low,open,volume,company,daily_return,next_day_return,log_volume
2023-09-14,META,309.00640869140625,311.7200012207031,312.8699951171875,305.0299987792969,306.739990234375,19343100,Meta,0.021831657649446168,-0.036603149941306756,16.77784632469975
2023-09-15,META,297.69580078125,300.30999755859375,312.0,298.75,311.6099853515625,28131100,Meta,-0.036603149941306756,0.007458921140727659,17.152386283860753
2023-09-18,META,299.9162902832031,302.54998779296875,303.6000061035156,297.79998779296875,298.19000244140625,14234200,Meta,0.007458921140727659,0.008329045264807267,16.47115807760677
2023-09-19,META,302.414306640625,305.07000732421875,306.1700134277344,299.80999755859375,302.4800109863281,15924400,Meta,0.008329045264807267,-0.01770077073421983,16.583363082103613
2023-09-20,META,297.06134033203125,299.6700134277344,308.05999755859375,299.42999267578125,305.04998779296875,19379500,Meta,-0.01770077073421983,-0.013147791897889727,16.779726364300473
2023-09-21,META,293.1556396484375,295.7300109863281,300.260009765625,293.2699890136719,295.70001220703125,21319600,Meta,-0.013147791897889727,0.011327565623762581,16.875137395359836
2023-09-22,META,296.47637939453125,299.0799865722656,305.3800048828125,298.2699890136719,299.29998779296875,25369600,Meta,0.011327565623762581,0.00585150414753044,17.049062164797643
2023-09-25,META,298.2112121582031,300.8299865722656,300.95001220703125,293.70001220703125,295.6400146484375,18987000,Meta,0.00585150414753044,-0.006216059808929475,16.75926509242555
2023-09-26,META,296.3575134277344,298.9599914550781,300.29998779296875,296.010009765625,297.6600036621094,19417200,Meta,-0.006216059808929475,-0.004080715119889833,16.7816698291759
2023-09-27,META,295.1481628417969,297.739990234375,301.29998779296875,286.7900085449219,300.45001220703125,36429800,Meta,-0.004080715119889833,0.02089063492777421,17.410897678988892
2023-09-28,META,301.3139953613281,303.9599914550781,306.3299865722656,296.70001220703125,298.94000244140625,22167100,Meta,0.02089063492777421,-0.012337117587082225,16.914119765639075
2023-09-29,META,297.5966491699219,300.2099914550781,310.6400146484375,299.3599853515625,307.3800048828125,25373700,Meta,-0.012337117587082225,0.022017819143781647,17.04922376248675
